# ----------------------------------------
# Vue d'ensemble "Comprendre le trafic Web et/ou dans votre application"
# Compte : H Sèchement
# Propriété : H Sèchement 
# ----------------------------------------
#  
# Date de début : 20250101
# Date de fin : 20250726
Identifiant du pays,Utilisateurs actifs
0126,0.022727272727272728,0.16666666666666666,0.13636363636363635
0127,0.046511627906976744,0.3333333333333333,0.13953488372093023
0128,0.16326530612244897,0.5714285714285714,0.2857142857142857
0129,0.0392156862745098,0.125,0.3137254901960784
0130,0,0,0.3404255319148936
0131,0.08888888888888889,0.23529411764705882,0.37777777777777777
0132,0.047619047619047616,0.11764705882352941,0.40476190476190477
0133,0.023809523809523808,0.05555555555555555,0.42857142857142855
0134,0,0,0.43243243243243246
0135,0.027777777777777776,0.1,0.2777777777777778
0136,0,0,0.2222222222222222
0137,0.02702702702702703,0.1111111111111111,0.24324324324324326
0138,0,0,0.13513513513513514
0139,0.02702702702702703,0.25,0.10810810810810811
0140,0,0,0.08571428571428572
0141,0,0,0.08571428571428572
0142,0,0,0.06451612903225806
0143,0,0,0.06896551724137931
0144,0,0,0.034482758620689655
0145,0,0,0.034482758620689655
0146,0.125,1,0.125
0147,0.06060606060606061,0.3333333333333333,0.18181818181818182
0148,0,0,0.1875
0149,0.1111111111111111,0.4,0.2777777777777778
0150,0.027777777777777776,0.09090909090909091,0.3055555555555556
0151,0.02702702702702703,0.08333333333333333,0.32432432432432434
0152,0.05128205128205128,0.14285714285714285,0.358974358974359
0153,0.05,0.16666666666666666,0.3
0154,0.02631578947368421,0.09090909090909091,0.2894736842105263
0155,0,0,0.3055555555555556
0156,0.07692307692307693,0.3,0.2564102564102564
0157,0.02631578947368421,0.1,0.2631578947368421
0158,0,0,0.2903225806451613
0159,0,0,0.2413793103448276
0160,0.06451612903225806,0.2857142857142857,0.22580645161290322
0161,0.03571428571428571,0.14285714285714285,0.25
0162,0.037037037037037035,0.125,0.2962962962962963
0163,0.13333333333333333,0.4444444444444444,0.3
0164,0,0,0.26666666666666666
0165,0.06451612903225806,0.2,0.3225806451612903
0166,0.08823529411764706,0.23076923076923078,0.38235294117647056
0167,0.05714285714285714,0.15384615384615385,0.37142857142857144
0168,0.027777777777777776,0.07692307692307693,0.3611111111111111
0169,0,0,0.34285714285714286
0170,0.027777777777777776,0.1111111111111111,0.25
0171,0,0,0.25
0172,0.02702702702702703,0.125,0.21621621621621623
0173,0.05263157894736842,0.2857142857142857,0.18421052631578946
0174,0.02631578947368421,0.16666666666666666,0.15789473684210525
0175,0.02564102564102564,0.16666666666666666,0.15384615384615385
0176,0,0,0.16216216216216217
0177,0.05405405405405406,0.2857142857142857,0.1891891891891892
